Especie,Familia,DAP,Altura
Abies alba,Pinaceae,30.34848112,18.1337766
Abies amabilis,Pinaceae,30.65495424,18.08769363
Abies balsamea,Pinaceae,12.84875338,12.34562881
Abies bifolia,Pinaceae,4.666666667,4.3
Abies bracteata,Pinaceae,16.383,6.7056
Abies concolor,Pinaceae,34.10467574,17.09528557
Abies fraseri,Pinaceae,13.613392,10.05553354
Abies grandis,Pinaceae,25.8503327,17.50597658
Abies lasiocarpa,Pinaceae,19.64270571,13.02863538
Abies magnifica,Pinaceae,52.61452811,22.19166386
Abies procera,Pinaceae,38.03774047,22.17122565
Larix decidua,Pinaceae,43.37175793,27.10932188
Larix laricina,Pinaceae,16.40573154,14.97934487
Larix lyallii,Pinaceae,22.86389912,12.0412674
Larix occidentalis,Pinaceae,30.12110126,23.16354405
Picea abies,Pinaceae,7.894124561,4.132779679
Picea breweriana,Pinaceae,43.13766667,19.45121633
Picea engelmannii,Pinaceae,26.92390693,16.18987553
Picea glauca,Pinaceae,19.37309424,12.94462114
Picea mariana,Pinaceae,13.68941382,13.23093049
Picea pungens,Pinaceae,23.13733649,13.8675879
Picea rubens,Pinaceae,17.88688856,13.64023729
Picea sitchensis,Pinaceae,30.73549251,16.52779574
Pinus albicaulis,Pinaceae,24.44368238,10.98833057
Pinus aristata,Pinaceae,26.0502949,9.462012273
Pinus arizonica,Pinaceae,36.8427,14.60137143
Pinus attenuata,Pinaceae,20.76854028,13.40689049
Pinus balfouriana,Pinaceae,71.02747143,15.0799981
Pinus banksiana,Pinaceae,18.65350959,13.90955386
Pinus caribaea,Pinaceae,27.84763636,11.63740305
Pinus cembra,Pinaceae,3,10.0341
Pinus cembroides,Pinaceae,18.06096089,4.721000743
Pinus clausa,Pinaceae,14.84133733,12.49518575
Pinus contorta,Pinaceae,20.45719573,14.915497
Pinus coulteri,Pinaceae,46.18703226,18.05549231
Pinus discolor,Pinaceae,18.14353636,4.548317698
Pinus echinata,Pinaceae,22.24805519,17.10266574
Pinus edulis,Pinaceae,19.6883196,4.70861141
Pinus elliottii,Pinaceae,18.67733464,15.12855803
Pinus engelmannii,Pinaceae,30.01082143,13.68496764
Pinus flexilis,Pinaceae,23.98265604,9.203722297
Pinus glabra,Pinaceae,30.54221689,19.57698034
Pinus jeffreyi,Pinaceae,45.15597217,17.78733387
Pinus lambertiana,Pinaceae,59.62032589,26.69934008
Pinus leiophylla,Pinaceae,21.44310843,8.51883964
Pinus longaeva,Pinaceae,50.95428148,10.74785535
Pinus monophylla,Pinaceae,20.93340054,4.539612433
Pinus monticola,Pinaceae,38.14011979,19.18705667
Pinus muricata,Pinaceae,37.0909589,20.74298776
Pinus nigra,Pinaceae,22.92343738,15.20358291
Pinus palustris,Pinaceae,25.10025388,17.28102861
Pinus pinaster,Pinaceae,15.09544827,0.258969703
Pinus ponderosa,Pinaceae,28.43324632,14.38654729
Pinus pungens,Pinaceae,22.10158394,13.81714483
Pinus radiata,Pinaceae,40.34517857,22.16631724
Pinus remota,Pinaceae,17.08452381,4.630057143
Pinus resinosa,Pinaceae,22.48595177,15.54323643
Pinus rigida,Pinaceae,23.60677668,14.27169263
Pinus sabiniana,Pinaceae,41.64582879,17.11137328
Pinus serotina,Pinaceae,22.36193034,14.5798275
Pinus strobiformis,Pinaceae,24.19571775,12.916841
Pinus strobus,Pinaceae,24.57528805,16.21885973
Pinus sylvestris,Pinaceae,20.02047667,13.18517946
Pinus virginiana,Pinaceae,18.41983377,15.14306945
Pinus washoensis,Pinaceae,40.50846429,17.94576842
Pseudotsuga macrocarpa,Pinaceae,67.75634951,23.24686154
Pseudotsuga menziesii,Pinaceae,33.94125016,19.90776887
Tsuga canadensis,Pinaceae,22.84043042,13.9611272
Tsuga caroliniana,Pinaceae,17.16454177,13.57407023
Tsuga heterophylla,Pinaceae,28.32994664,17.68154546
Tsuga mertensiana,Pinaceae,26.92427975,12.55856327
NA,Pinaceae,34.17058824,5.76
Calocedrus decurrens,Cupressaceae,37.75633291,15.25319737
Chamaecyparis lawsoniana,Cupressaceae,36.78228919,18.72652564
Chamaecyparis thyoides,Cupressaceae,20.88173066,14.90673151
Cupressus arizonica,Cupressaceae,19.99731268,8.8392
Cupressus bakeri,Cupressaceae,28.86363636,19.0754
Cupressus sargentii,Cupressaceae,12.68236111,5.895583562
Fitzroya cupressoides,Cupressaceae,39.80851893,14.06318945
Hesperocyparis macrocarpa,Cupressaceae,17.11036364,5.666509091
Juniperus ashei,Cupressaceae,19.89260875,5.196745861
Juniperus californica,Cupressaceae,36.42691304,3.840557854
Juniperus coahuilensis,Cupressaceae,21.94401595,3.395458738
Juniperus communis,Cupressaceae,5,5.36755
Juniperus deppeana,Cupressaceae,25.86296465,4.830721262
Juniperus flaccida,Cupressaceae,8.0645,11.684
Juniperus monosperma,Cupressaceae,29.41411258,3.733841657
Juniperus occidentalis,Cupressaceae,31.38188954,8.232605845
Juniperus osteosperma,Cupressaceae,29.23344007,3.832176735
Juniperus pinchotii,Cupressaceae,18.38225015,2.926550594
Juniperus scopulorum,Cupressaceae,21.86727656,4.402791983
Juniperus virginiana,Cupressaceae,14.21999462,9.694245946
Sequoia sempervirens,Cupressaceae,58.42613103,27.92844846
Sequoiadendron giganteum,Cupressaceae,119.5365,41.32027826
Taxodium ascendens,Cupressaceae,20.18155738,14.69596336
Taxodium distichum,Cupressaceae,37.35871293,20.65068701
Thuja occidentalis,Cupressaceae,19.68419887,11.40997774
Thuja plicata,Cupressaceae,32.38661111,16.715481
NA,Cupressaceae,14.93333333,5.385351531
